"","long","lat","depth","distance"
"75",-80.2833333329077,-8.0666666661816,-19.6987578187767,103.738577991547
"76",-80.2833333329077,-8.0499999995149,-19.8355897382504,104.471428809227
"77",-80.266666666241,-8.0499999995149,-20.1325359461264,106.155803440512
"78",-80.2499999995743,-8.0499999995149,-20.4339952587651,107.842159556478
"79",-80.2499999995743,-8.0333333328482,-20.5765797417164,108.576601223678
"80",-80.2333333329076,-8.0333333328482,-20.884524887422,110.260377144309
"81",-80.2166666662409,-8.0333333328482,-21.1972665910899,111.946112545064
"82",-80.1999999995742,-8.0333333328482,-21.5149593479585,113.63377114838
"83",-80.1999999995742,-8.01666666618151,-21.6649815369023,114.365292933368
"84",-80.1833333329076,-8.01666666618151,-21.9908234406384,116.050425984169
