"","tp","ta","lat","long"
"312",76,186,-3.85,-80.86
"313",31,109,-18.51,-69.37
"314",4,315,5.91,-82.66
"315",14,49,-21.63,-68.53
"316",13,204,-16.03,-74.14
"317",4,208,-3.38,-79.97
"318",41,63,-17.99,-69.41
"319",6,324,3.65,-83.5
"320",5,315,5.29,-82.59
"321",37,153,0.48,-78.77
"322",8,57,-21.3,-68.76
"323",6,62,-14.07,-72.95
"324",8,2,-15.88,-74.04
"325",7,306,4.86,-78.22
"326",43,67,-8.36,-74.27
"327",8,256,-4.89,-76.37
"328",33,72,-19.91,-70.41
"329",69,311,-11.32,-78.19
"330",65,102,0.62,-80.02
"331",76,34,-19.96,-70.04
"332",4,257,-9.35,-79
"333",60,63,0.7,-79.68
"334",19,238,-13.29,-74.9
"335",9,156,3.93,-85.88
"336",57,53,0.78,-79.8
"337",59,262,-11.64,-74.48
"338",18,78,-20.52,-68.92
"339",0,135,4.04,-82.5
"340",35,151,-11.96,-74.2
"341",52,75,-8.04,-74.41
"342",2,84,-10.02,-71.18
"343",3,45,-6.12,-77.13
"344",58,104,-1.25,-81.07
"345",4,323,1.49,-85.27
"346",13,32,-20.89,-68.45
"347",24,73,-19.4,-69.53
"348",0,135,5.28,-82.65
"349",0,161,2.85,-84.29
"350",8,37,-21.32,-68.23
"351",17,104,-9.52,-74.66
"352",33,331,-10.08,-74.76
"353",36,74,-15.3,-71.68
"354",75,201,-16.13,-73.66
"355",9,150,5.47,-77.71
"356",8,63,-19.07,-69.28
"357",61,147,-16.47,-73.51
"358",60,244,-10.23,-78.52
"359",24,248,-7.89,-71.42
"360",24,71,-21.91,-65.79
"361",78,101,-20.02,-69.82
"362",66,129,-8.88,-75.73
"363",49,231,-16.39,-72.66
"364",46,255,-16.5,-72.66
"365",65,66,0.67,-80.07
"366",8,46,-21.56,-68.28
"367",44,358,-15.25,-70.09
"368",1,91,5.22,-75.8
"369",61,232,-12.17,-76.66
"370",30,80,-19.2,-68.89
"371",29,76,-21.41,-66.61
"372",57,35,-15.63,-69.56
"373",1,82,-3.55,-76.27
"374",24,95,4.81,-76.22
"375",58,81,1.6,-79.36
"376",0,123,5.51,-80.51
"377",63,108,2.61,-79.22
"378",59,61,2.1,-79.02
"379",58,87,2.94,-78.77
"380",2,251,-14.54,-73.49
"381",66,127,2.33,-79.37
"382",14,317,5.44,-82.65
"383",8,296,-2.25,-79.73
"384",67,117,-16.69,-72.95
"385",10,317,5.69,-82.57
"386",11,63,-7.89,-74.41
"387",12,75,-21.29,-68.73
"388",10,61,-2.52,-78.5
"389",28,293,1.81,-80.37
"390",22,82,-19.36,-69.29
"391",57,115,-15.52,-75.24
"392",21,94,4.44,-75.78
"393",7,319,5.28,-82.67
"394",55,194,-1.95,-80.02
"395",65,99,3.24,-78.19
"396",30,47,-1.38,-77.69
"397",9,84,-21.27,-68.15
"398",8,322,2.14,-79.17
"399",28,125,2.16,-79.23
"400",14,319,2,-79.29
"401",35,25,-15.59,-74.53
"402",78,142,-6.41,-81.42
"403",12,336,3.89,-85.92
"404",31,78,-19.37,-68.96
"405",71,29,-20.16,-70.7
"406",59,239,-13.14,-74.38
"407",62,82,-1.89,-80.88
"408",33,265,-10.32,-78.4
"409",26,88,-20.49,-65.19
